WATERSHED,SAMPLE_DATE,SITE_NAME,SITE_TYPE,MEDIUM,PARAM_TYPE,PARAMETER,QUALIFIER,RESULT,UNIT,FILTER,SAMPLE_ID,SAMPLE_SITE_NO,DEPTH_IN_METERS,METHOD,QC_FLAG,PROJECT,Location,DATA_REF_NO,LAT_DD_WGS84,LON_DD_WGS84,SAMPLE_REF_NO,TIME_NULL,QC_TYPE
Barton Creek,1/14/15 13:33,Barton Creek @ Ogletree Pool,Stream,Surface Water,Bacteria/Pathogens,E COLI BACTERIA,,24.6,MPN/100ML,Total,49-BAR @ OGLETREE,49,,SM 9223 B,U,Environmental Integrity Index (EII),"(30.3022731006164, -97.868544391745)",2426089,30.3022731,-97.86854439,480158,FALSE,
Barton Creek,1/14/15 11:36,Barton Creek @ Hwy 71 Downstream of Little Barton,Stream,Surface Water,Bacteria/Pathogens,E COLI BACTERIA,,38.9,MPN/100ML,Total,48-BAR @ HWY 71 BLW LBA,48,,SM 9223 B,U,Environmental Integrity Index (EII),"(30.2962292409524, -97.9260928438428)",2426082,30.29622924,-97.92609284,480157,FALSE,
Barton Creek,6/26/13 14:35,Barton Creek Downstream of Lost Creek Blvd,Stream,Surface Water,Bacteria/Pathogens,E COLI BACTERIA,,52.4,MPN/100ML,Total,280-EBO @ Gillis Park,51,,SM 9223 B,U,Environmental Integrity Index (EII),"(30.2730736469462, -97.8432343429509)",2284537,30.27307365,-97.84323434,445496,FALSE,Field Replica
Barton Creek,6/26/13 14:05,Barton Creek Downstream of Lost Creek Blvd,Stream,Surface Water,Bacteria/Pathogens,E COLI BACTERIA,,48.7,MPN/100ML,Total,51-BAR @ Lost Crk,51,,SM 9223 B,U,Environmental Integrity Index (EII),"(30.2730736469462, -97.8432343429509)",2294845,30.27307365,-97.84323434,433231,FALSE,
Barton Creek,6/26/13 13:15,Barton Creek @ Ogletree Pool,Stream,Surface Water,Bacteria/Pathogens,E COLI BACTERIA,,1,MPN/100ML,Total,49-BAR @ OGLETREE,49,,SM 9223 B,U,Environmental Integrity Index (EII),"(30.3022731006164, -97.868544391745)",2289710,30.3022731,-97.86854439,433228,FALSE,
Barton Creek,6/26/13 12:40,Barton Creek @ Hwy 71 Downstream of Little Barton,Stream,Surface Water,Bacteria/Pathogens,E COLI BACTERIA,,42.8,MPN/100ML,Total,48-BAR @ HWY 71 Blw LBA,48,,SM 9223 B,U,Environmental Integrity Index (EII),"(30.2962292409524, -97.9260928438428)",2290378,30.29622924,-97.92609284,433225,FALSE,
Barton Creek,6/26/13 12:20,Old Mill (Sunken Gardens) Spring,Spring,Ground Water,Bacteria/Pathogens,E COLI BACTERIA,,4.1,MPN/100ML,Total,422-OLD MILL SPRINGS,422,,SM 9223 B,U,Barton Springs Quarterly,"(30.2635848609854, -97.7680757366172)",2299918,30.26358486,-97.76807574,433361,FALSE,
Barton Creek,6/26/13 11:50,Barton Spring,Spring,Ground Water,Bacteria/Pathogens,E COLI BACTERIA,,10.7,MPN/100ML,Total,35-BARTON SPGS,35,,SM 9223 B,U,Barton Springs Quarterly,"(30.2635351223695, -97.7709796798271)",2301098,30.26353512,-97.77097968,433357,FALSE,
Barton Creek,6/26/13 11:45,Barton Creek @ Shield Ranch Pool,Stream,Surface Water,Bacteria/Pathogens,E COLI BACTERIA,,5.1,MPN/100ML,Total,46-BAR @ Shield,46,,SM 9223 B,U,Environmental Integrity Index (EII),"(30.2697854884719, -97.9735087865863)",2290384,30.26978549,-97.97350879,433222,FALSE,
Barton Creek,6/26/13 11:35,Eliza Spring,Spring,Ground Water,Bacteria/Pathogens,E COLI BACTERIA,,2,MPN/100ML,Total,643-EMILY SPRINGS,428,,SM 9223 B,U,Barton Springs Quarterly,"(30.2642461579302, -97.7700605859118)",2300989,30.26424616,-97.77006059,433365,FALSE,Field Replica
Barton Creek,6/26/13 11:20,Eliza Spring,Spring,Ground Water,Bacteria/Pathogens,E COLI BACTERIA,,1,MPN/100ML,Total,428-ELIZA SPGS,428,,SM 9223 B,U,Barton Springs Quarterly,"(30.2642461579302, -97.7700605859118)",2301457,30.26424616,-97.77006059,433363,FALSE,
Barton Creek,6/26/13 10:45,Barton Creek @ Stark Pool,Stream,Surface Water,Bacteria/Pathogens,E COLI BACTERIA,,83.6,MPN/100ML,Total,44-BAR @ Stark,44,,SM 9223 B,U,Environmental Integrity Index (EII),"(30.2449221264486, -98.1256944853527)",2291032,30.24492213,-98.12569449,433219,FALSE,
Barton Creek,6/26/13 9:00,Backdoor Spring,Spring,Ground Water,Bacteria/Pathogens,E COLI BACTERIA,<J,1,MPN/100ML,Total,160-BACKDOOR SPRING,160,,SM 9223 B,U,Barton Springs Quarterly,"(30.2594932474744, -97.8237008852486)",2300449,30.25949325,-97.82370089,433359,FALSE,
Barton Creek,6/26/13 8:30,Barton Creek Between Dams Upstream of Pool,Stream,Surface Water,Bacteria/Pathogens,E COLI BACTERIA,,219,MPN/100ML,Total,879-BAR Btwn Dams Abv Pool,879,,SM 9223 B,U,Environmental Integrity Index (EII),"(30.2636315522417, -97.7724721862967)",2294374,30.26363155,-97.77247219,433241,FALSE,
Barton Creek,6/6/13 10:00,Barton Spring,Spring,Ground Water,Bacteria/Pathogens,E COLI BACTERIA,,6.2,MPN/100ML,Total,35-BARTON SPRINGS,35,,SM 9223 B,U,Barton Springs TPDES,"(30.2635351223695, -97.7709796798271)",2300172,30.26353512,-97.77097968,431126,FALSE,
Barton Creek,5/23/13 12:30,Old Mill (Sunken Gardens) Spring,Spring,Ground Water,Bacteria/Pathogens,E COLI BACTERIA,,15.6,MPN/100ML,Total,422-Old Mill Springs,422,,SM 9223 B,U,Barton Springs TPDES,"(30.2635848609854, -97.7680757366172)",2292185,30.26358486,-97.76807574,434033,FALSE,
Barton Creek,5/9/13 13:10,Barton Spring,Spring,Ground Water,Bacteria/Pathogens,E COLI BACTERIA,,1,MPN/100ML,Total,35-barton Springs,35,,SM 9223 B,U,Barton Springs TPDES,"(30.2635351223695, -97.7709796798271)",2154980,30.26353512,-97.77097968,434027,FALSE,
Barton Creek,4/24/13 13:40,Barton Creek Downstream of Lost Creek Blvd,Stream,Surface Water,Bacteria/Pathogens,E COLI BACTERIA,,37,MPN/100ML,Total,51-Barton @ Lost Creek,51,,SM 9223 B,U,Environmental Integrity Index (EII),"(30.2730736469462, -97.8432343429509)",2210409,30.27307365,-97.84323434,427461,FALSE,
Barton Creek,4/24/13 13:00,Barton Creek @ Ogletree Pool,Stream,Surface Water,Bacteria/Pathogens,E COLI BACTERIA,,13,MPN/100ML,Total,49-Barton @ Ogletree,49,,SM 9223 B,U,Environmental Integrity Index (EII),"(30.3022731006164, -97.868544391745)",2213150,30.3022731,-97.86854439,427458,FALSE,
Barton Creek,4/24/13 12:30,Barton Creek @ Hwy 71 Downstream of Little Barton,Stream,Surface Water,Bacteria/Pathogens,E COLI BACTERIA,,14,MPN/100ML,Total,48-Barton @ Hwy 71 Blw Ltl Barton,48,,SM 9223 B,U,Environmental Integrity Index (EII),"(30.2962292409524, -97.9260928438428)",2214099,30.29622924,-97.92609284,427455,FALSE,
Barton Creek,4/24/13 12:00,Barton Creek @ Shield Ranch Pool,Stream,Surface Water,Bacteria/Pathogens,E COLI BACTERIA,,270,MPN/100ML,Total,280-East Bouldin @ Gillis Park,46,,SM 9223 B,U,Environmental Integrity Index (EII),"(30.2697854884719, -97.9735087865863)",2217823,30.26978549,-97.97350879,427465,FALSE,Field Replica
Barton Creek,4/24/13 11:45,Barton Creek @ Shield Ranch Pool,Stream,Surface Water,Bacteria/Pathogens,E COLI BACTERIA,,328,MPN/100ML,Total,46-BAR @ Shield,46,,SM 9223 B,U,Environmental Integrity Index (EII),"(30.2697854884719, -97.9735087865863)",2217822,30.26978549,-97.97350879,427452,FALSE,
Barton Creek,4/24/13 10:45,Barton Creek @ Stark Pool,Stream,Surface Water,Bacteria/Pathogens,E COLI BACTERIA,>,2420,MPN/100ML,Total,44-BAR @ Stark,44,,SM 9223 B,U,Environmental Integrity Index (EII),"(30.2449221264486, -98.1256944853527)",2215041,30.24492213,-98.12569449,427449,FALSE,
Barton Creek,4/9/13 11:40,Rimrock Spring 67,Spring,Ground Water,Bacteria/Pathogens,E COLI BACTERIA,<J,1,MPN/100ML,Total,5737-Rimrock Spring 67,5737,,SM 9223 B,U,TLAP Impact Study,"(30.2585691217237, -97.8649429211916)",2155001,30.25856912,-97.86494292,426221,FALSE,
Barton Creek,4/9/13 9:40,Barton Scenic Bluff Spring,Spring,Ground Water,Bacteria/Pathogens,E COLI BACTERIA,,28,MPN/100ML,Total,578-BAR Scenic Bluff Spg,578,,SM 9223 B,U,TLAP Impact Study,"(30.3033884844776, -97.8888742486095)",2154999,30.30338848,-97.88887425,426217,FALSE,
Barton Creek,3/26/13 9:15,Barton Spring,Spring,Ground Water,Bacteria/Pathogens,E COLI BACTERIA,,2,MPN/100ML,Total,35-BARTON SPRINGS,35,,SM 9223 B,U,Barton Springs TPDES,"(30.2635351223695, -97.7709796798271)",2154184,30.26353512,-97.77097968,392470,FALSE,
Barton Creek,2/28/13 14:00,Barton Spring,Spring,Ground Water,Bacteria/Pathogens,E COLI BACTERIA,,4,MPN/100ML,Total,35-Barton Springs,35,,SM 9223 B,U,Barton Springs TPDES,"(30.2635351223695, -97.7709796798271)",2003092,30.26353512,-97.77097968,392413,FALSE,
Barton Creek,1/31/13 9:50,Barton Spring,Spring,Ground Water,Bacteria/Pathogens,E COLI BACTERIA,<J,2,MPN/100ML,Total,35-Barton Springs,35,,SM 9223 B,U,Barton Springs TPDES,"(30.2635351223695, -97.7709796798271)",1988409,30.26353512,-97.77097968,392050,FALSE,
Barton Creek,1/24/13 11:00,Barton Spring,Spring,Ground Water,Bacteria/Pathogens,E COLI BACTERIA,<J,2,MPN/100ML,Total,35-BARTON SPRINGS,35,,SM 9223 B,U,Barton Springs TPDES,"(30.2635351223695, -97.7709796798271)",1987766,30.26353512,-97.77097968,392048,FALSE,
Barton Creek,1/22/13 13:30,Barton Creek Downstream of Lost Creek Blvd,Stream,Surface Water,Bacteria/Pathogens,E COLI BACTERIA,,20,MPN/100ML,Total,51-Barton @ Lost Creek,51,,SM 9223 B,U,Environmental Integrity Index (EII),"(30.2730736469462, -97.8432343429509)",1985756,30.27307365,-97.84323434,391525,FALSE,
Barton Creek,1/22/13 12:45,Barton Creek @ Ogletree Pool,Stream,Surface Water,Bacteria/Pathogens,E COLI BACTERIA,,4,MPN/100ML,Total,49-Barton @ Ogletree,49,,SM 9223 B,U,Environmental Integrity Index (EII),"(30.3022731006164, -97.868544391745)",1985755,30.3022731,-97.86854439,391522,FALSE,
Barton Creek,1/22/13 12:00,Barton Creek @ Hwy 71 Downstream of Little Barton,Stream,Surface Water,Bacteria/Pathogens,E COLI BACTERIA,,37,MPN/100ML,Total,48-Barton @ Hwy 71 Blw Ltl Barton,48,,SM 9223 B,U,Environmental Integrity Index (EII),"(30.2962292409524, -97.9260928438428)",1985754,30.29622924,-97.92609284,391519,FALSE,
Barton Creek,1/22/13 11:30,Barton Creek @ Shield Ranch Pool,Stream,Surface Water,Bacteria/Pathogens,E COLI BACTERIA,,2,MPN/100ML,Total,280-East Bouldin @ Gillis Park,46,,COLILERT (IDEXX METHOD),U,Environmental Integrity Index (EII),"(30.2697854884719, -97.9735087865863)",1994267,30.26978549,-97.97350879,391532,FALSE,Field Replica
