WATERSHED,SAMPLE_DATE,SITE_NAME,SITE_TYPE,MEDIUM,PARAM_TYPE,PARAMETER,QUALIFIER,RESULT,UNIT,FILTER,SAMPLE_ID,SAMPLE_SITE_NO,DEPTH_IN_METERS,METHOD,QC_FLAG,PROJECT,Location,DATA_REF_NO,LAT_DD_WGS84,LON_DD_WGS84,SAMPLE_REF_NO,TIME_NULL,QC_TYPE
Barton Creek,5/24/06 8:50,Barton Spring,Spring,Ground Water,Clarity,TURBIDITY,<,2,NTRU,Total,,35,,EPA 180.1,U,USGS Data,"(30.2635351223695, -97.7709796798271)",1179796,30.26353512,-97.77097968,297033,FALSE,
Barton Creek,1/14/15 12:32,Barton Creek @ Ogletree Pool,Stream,Surface Water,Clarity,TURBIDITY,,2.73,NTU,Total,,49,,Trilogy Fluorometer,R,Environmental Integrity Index (EII),"(30.3022731006164, -97.868544391745)",2429706,30.3022731,-97.86854439,480458,FALSE,
Barton Creek,1/14/15 11:36,Barton Creek @ Hwy 71 Downstream of Little Barton,Stream,Surface Water,Clarity,TURBIDITY,,1.32,NTU,Total,,48,,Trilogy Fluorometer,R,Environmental Integrity Index (EII),"(30.2962292409524, -97.9260928438428)",2429705,30.29622924,-97.92609284,480457,FALSE,
Barton Creek,6/26/13 14:35,Barton Creek Downstream of Lost Creek Blvd,Stream,Surface Water,Clarity,TURBIDITY,,0.95,NTU,Total,EBO @ Gillis,51,,Trilogy Fluorometer,U,Environmental Integrity Index (EII),"(30.2730736469462, -97.8432343429509)",2040043,30.27307365,-97.84323434,433239,FALSE,Field Replica
Barton Creek,6/26/13 14:05,Barton Creek Downstream of Lost Creek Blvd,Stream,Surface Water,Clarity,TURBIDITY,,1,NTU,Total,,51,,Trilogy Fluorometer,J,Environmental Integrity Index (EII),"(30.2730736469462, -97.8432343429509)",2040042,30.27307365,-97.84323434,433232,FALSE,
Barton Creek,6/26/13 13:15,Barton Creek @ Ogletree Pool,Stream,Surface Water,Clarity,TURBIDITY,,1.25,NTU,Total,,49,,Trilogy Fluorometer,U,Environmental Integrity Index (EII),"(30.3022731006164, -97.868544391745)",2040041,30.3022731,-97.86854439,433229,FALSE,
Barton Creek,6/26/13 12:40,Barton Creek @ Hwy 71 Downstream of Little Barton,Stream,Surface Water,Clarity,TURBIDITY,,0.75,NTU,Total,,48,,Trilogy Fluorometer,U,Environmental Integrity Index (EII),"(30.2962292409524, -97.9260928438428)",2040040,30.29622924,-97.92609284,433226,FALSE,
Barton Creek,6/26/13 12:20,Old Mill (Sunken Gardens) Spring,Spring,Ground Water,Clarity,TURBIDITY,,0,NTU,Total,,422,,Quanta Probe,U,Barton Springs Quarterly,"(30.2635848609854, -97.7680757366172)",2040430,30.26358486,-97.76807574,433362,FALSE,
Barton Creek,6/26/13 11:50,Barton Spring,Spring,Ground Water,Clarity,TURBIDITY,,0,NTU,Total,,35,,Quanta Probe,U,Barton Springs Quarterly,"(30.2635351223695, -97.7709796798271)",2040418,30.26353512,-97.77097968,433358,FALSE,
Barton Creek,6/26/13 11:45,Barton Creek @ Shield Ranch Pool,Stream,Surface Water,Clarity,TURBIDITY,,0.01,NTU,Total,,46,,Trilogy Fluorometer,U,Environmental Integrity Index (EII),"(30.2697854884719, -97.9735087865863)",2040039,30.26978549,-97.97350879,433223,FALSE,
