SITE_NAME,M_Result,M_Error,M_WT_Result,M_PH_Result,M_DIS_Result,M_TUR_Result,M_DS_Rain,M_Temp,N,E_std,R2,R22,PARM_INTERCIP,tSTAT_INTERCIP,PARM_WT,tSTAT_WT,PARM_PH,tSTAT_PH,PARM_DIS,tSTAT_DIS,PARM_TUR,tSTAT_TUR,PARM_DS_Rain,tSTAT_DS_Rain,PARM_AMB_TEMP,tSTAT_AMB_TEMP,LAT_DD_WGS84,LON_DD_WGS84
Bear Creek Upstream of Davis Pond,76.38,-1.53E-13,31.591,7.374,6.286,0.863,14.8,15.1,10,14.0797172,0.899806912,0.997933581,314.7623142,0.28287925,-0.911319179,0.363573296,-25.97186322,0.357262658,-2.225413073,0.865563158,9.169037639,0.617344148,-3.981194553,0.082170305,4.851926268,0.166857837,30.12742048,-97.82190258
Barton Creek @ Recharge Pool,25.18181818,2.43E-14,22.64636364,7.679090909,9.470909091,4.820909091,9,19,11,16.54941987,0.664343745,0.964591085,-142.7473403,0.295310793,2.9334002,0.046584567,12.17322971,0.41141817,2.688574059,0.109018995,2.392131027,0.632534273,-0.689684047,0.329556042,-0.963066458,0.094420109,30.29622924,-97.92609284
Bear Creek (West) @ Fritz Hughes Park Road,54.68636364,6.85E-14,18.42818182,7.798636364,10.57545455,6.196818182,10.95454546,20.4,22,32.66793018,0.458710752,0.825771835,-433.7864499,0.015409997,0.136937574,0.927540905,38.108247,0.072633978,11.90015774,0.04968136,2.262964193,0.206004511,-1.854700443,0.145519794,3.631793698,0.001621125,30.29136422,-97.84924671
Barton Creek @ Fitzhugh Pool,44.1,-1.58E-13,21.22,7.494,9.49,2.178,10.1,18.7,10,27.62777621,0.595972089,0.816021547,750.5335617,0.599249938,-7.386515885,0.779014283,-98.44975561,0.529777471,20.56934898,0.396175818,-6.319214705,0.748778726,0.924016826,0.934010756,-0.106967022,0.985721194,30.26408358,-97.76867081
Bee Creek @ Lake Austin,32.29,-1.48E-14,20.29066667,7.565,8.819666667,9.012666667,5.933333333,17.5,30,17.75511721,0.488803319,0.734557978,-53.56641923,0.408713897,0.453594001,0.500423014,9.439819217,0.198178751,-0.815335148,0.673048236,-4.7676168,0.150418508,-2.308248756,0.007405802,2.037425458,7.97E-05,30.16088234,-97.94486077
Bee Creek @ Road Runner Road,42.47777778,-1.58E-15,20.34111111,7.397222222,8.295555556,1.339444444,5.944444444,16.3,18,28.61258007,0.330271475,0.72457677,-80.59774068,0.480971296,2.155107598,0.073780154,7.715737632,0.575544131,-3.965399657,0.358733342,12.72050343,0.331464329,1.647429051,0.192320511,0.833156449,0.264749149,30.3022731,-97.86854439
Barton Creek Between Dams Upstream of Pool,45.08048781,-1.11E-14,22.35615176,7.462439024,7.82,4.897073171,10.73170732,20.4,41,23.82080233,0.511351114,0.719167596,29.40634293,0.626635338,0.354459796,0.671397911,-2.623568692,0.743026788,-0.464290157,0.786817597,0.121036893,0.845768631,-1.288923985,0.001331216,2.027228498,3.06E-06,30.3066873,-97.80653307
Barton Creek @ Leif Johnson Pool,20.5,-1.78E-14,21.16454546,7.525,6.973181818,2.933636364,9.681818182,19.8,22,13.94856047,0.331892875,0.59887966,-38.37358189,0.509739678,1.133891514,0.191811351,8.476240421,0.245646879,-1.662986576,0.221089075,-1.180972377,0.045255552,-1.06595517,0.01015816,-0.2159258,0.498572286,30.27307365,-97.84323434
Barton Creek Downstream of Lost Creek Blvd,29.57906977,8.92E-15,21.33351421,7.440697674,7.425348837,2.373488372,13.69767442,21,43,19.03097775,0.397444634,0.597607525,86.67768737,0.02259544,0.678873223,0.222622967,-9.387331009,0.0357888,-0.461474271,0.6660012,-0.174278437,0.786262178,-0.914118188,7.27E-05,0.565154651,0.049558282,30.24492213,-98.12569449
Bee Creek @ Loop 360,68.06190476,-2.47E-14,19.30047619,7.497142857,8.06952381,2.361904762,7.142857143,19.2,21,36.36038413,0.145415033,0.593216743,116.2095238,0.550817129,3.983002653,0.058158724,-21.66598647,0.219085899,-1.943196939,0.768009257,13.25679792,0.208411209,0.841627612,0.536797265,0.57201241,0.558967772,30.30471181,-97.82497847
