WATERSHED,SAMPLE_DATE,SITE_NAME,SITE_TYPE,MEDIUM,PARAM_TYPE,PARAMETER,QUALIFIER,RESULT,UNIT,FILTER,SAMPLE_ID,SAMPLE_SITE_NO,DEPTH_IN_METERS,METHOD,QC_FLAG,PROJECT,Location,DATA_REF_NO,LAT_DD_WGS84,LON_DD_WGS84,SAMPLE_REF_NO,TIME_NULL,QC_TYPE
Barton Creek,04/09/2013 11:40:00 AM,Rimrock Spring 67,Spring,Ground Water,Flow/Rainfall,DAYS AFTER STORM,,7,Days,Total,,5737,,CALCULATION,U,TLAP Impact Study,"(30.2585691217237, -97.8649429211916)",2218696,30.2585691217237,-97.8649429211916,426222,false,
Barton Creek,04/09/2013 09:40:00 AM,Barton Scenic Bluff Spring,Spring,Ground Water,Flow/Rainfall,DAYS AFTER STORM,,7,Days,Total,,578,,Rainvieux Web Page,U,TLAP Impact Study,"(30.3033884844776, -97.8888742486095)",1954977,30.3033884844776,-97.8888742486095,426218,false,
Barton Creek,02/01/2013 12:45:00 PM,Barton Spring,Spring,Sediment,Flow/Rainfall,DAYS AFTER STORM,>,10,Days,Total,,35,,Rainvieux Web Page,U,TPDES Sediment Data,"(30.2635351223695, -97.7709796798271)",2426040,30.2635351223695,-97.7709796798271,480199,false,
Barton Creek,08/30/2012 11:30:00 AM,Barton Spring,Spring,Sediment,Flow/Rainfall,DAYS AFTER STORM,>,7,Days,Total,,35,,Rainvieux Web Page,U,TPDES Sediment Data,"(30.2635351223695, -97.7709796798271)",1957621,30.2635351223695,-97.7709796798271,386728,false,
Barton Creek,08/28/2012 10:30:00 AM,Barton Scenic Bluff Spring,Spring,Surface Water,Flow/Rainfall,DAYS AFTER STORM,<,7,Days,Total,,578,,CALCULATION,U,TLAP Impact Study,"(30.3033884844776, -97.8888742486095)",1957496,30.3033884844776,-97.8888742486095,386697,false,
Barton Creek,06/13/2012 12:30:00 PM,Barton Spring,Spring,Sediment,Flow/Rainfall,DAYS AFTER STORM,>,3,Days,Total,,35,,Rainvieux Web Page,U,TPDES Sediment Data,"(30.2635351223695, -97.7709796798271)",1939132,30.2635351223695,-97.7709796798271,385397,false,
Barton Creek,06/13/2012 11:50:00 AM,Old Mill (Sunken Gardens) Spring,Spring,Sediment,Flow/Rainfall,DAYS AFTER STORM,>,3,Days,Total,,422,,Rainvieux Web Page,U,TPDES Sediment Data,"(30.2635848609854, -97.7680757366172)",1938791,30.2635848609854,-97.7680757366172,385401,false,
Barton Creek,06/13/2012 11:00:00 AM,Eliza Spring,Spring,Sediment,Flow/Rainfall,DAYS AFTER STORM,>,3,Days,Total,,428,,Rainvieux Web Page,U,TPDES Sediment Data,"(30.2642461579302, -97.7700605859118)",1938793,30.2642461579302,-97.7700605859118,385403,false,
Barton Creek,06/13/2012 10:30:00 AM,Upper Barton Spring,Spring,Sediment,Flow/Rainfall,DAYS AFTER STORM,>,3,Days,Total,,183,,Rainvieux Web Page,U,TPDES Sediment Data,"(30.2635944614644, -97.7737817041223)",1938759,30.2635944614644,-97.7737817041223,385399,false,
Barton Creek,12/29/2011 01:00:00 PM,Barton Spring,Spring,Sediment,Flow/Rainfall,DAYS AFTER STORM,>,7,Days,Total,,35,,Rainvieux Web Page,U,TPDES Sediment Data,"(30.2635351223695, -97.7709796798271)",2420688,30.2635351223695,-97.7709796798271,479839,false,
Barton Creek,11/29/2011 05:05:00 PM,Barton Springs Pool @ Beach Edge,Stream,Ground Water,Flow/Rainfall,DAYS AFTER STORM,,3,Days,Total,Secci Disk ONLY,4974,,Rainvieux Web Page,U,Barton Springs Algae,"(30.2639999995656, -97.7700000003049)",1910353,30.2639999995656,-97.7700000003049,384065,false,
Barton Creek,11/29/2011 05:00:00 PM,Barton Spring Pool @ Downstream Dam,Stream,Ground Water,Flow/Rainfall,DAYS AFTER STORM,,3,Days,Total,,860,,Rainvieux Web Page,U,Barton Springs Algae,"(30.2640070647195, -97.7693825634433)",1910332,30.2640070647195,-97.7693825634433,372145,false,
Barton Creek,11/29/2011 04:45:00 PM,Barton Springs Pool site BSP-9,Sediment,Ground Water,Flow/Rainfall,DAYS AFTER STORM,,3,Days,Total,,2819,,Rainvieux Web Page,U,Barton Springs Algae,"(30.2637927863172, -97.7707696638517)",1910342,30.2637927863172,-97.7707696638517,384063,false,
Barton Creek,11/29/2011 04:20:00 PM,Barton Springs Pool @ Shallow End,Sediment,Ground Water,Flow/Rainfall,DAYS AFTER STORM,,3,Days,Total,,2514,,Rainvieux Web Page,U,Barton Springs Algae,"(30.263496776167, -97.7719212983408)",1910336,30.263496776167,-97.7719212983408,372147,false,
Barton Creek,09/07/2011 01:11:00 PM,Barton Springs Pool @ Beach Edge,Stream,Ground Water,Flow/Rainfall,DAYS AFTER STORM,>,30,Days,Total,,4974,,Rainvieux Web Page,U,Barton Springs Algae,"(30.2639999995656, -97.7700000003049)",1822413,30.2639999995656,-97.7700000003049,362848,false,
Barton Creek,09/07/2011 11:10:00 AM,Barton Spring Pool @ Downstream Dam,Stream,Ground Water,Flow/Rainfall,DAYS AFTER STORM,>,30,Days,Total,,860,,Rainvieux Web Page,U,Barton Springs Algae,"(30.2640070647195, -97.7693825634433)",1822406,30.2640070647195,-97.7693825634433,362843,false,
