WATERSHED,SAMPLE_DATE,SITE_NAME,SITE_TYPE,MEDIUM,PARAM_TYPE,PARAMETER,QUALIFIER,RESULT,UNIT,FILTER,SAMPLE_ID,SAMPLE_SITE_NO,DEPTH_IN_METERS,METHOD,QC_FLAG,PROJECT,Location,DATA_REF_NO,LAT_DD_WGS84,LON_DD_WGS84,SAMPLE_REF_NO,TIME_NULL,QC_TYPE
Barton Creek,4/4/07 14:00,Old Mill (Sunken Gardens) Spring,Spring,Ground Water,Nutrients,NITRATE AS N,,1.17,MG/L,Total,422-Old Mill Springs,422,,EPA 300,U,Barton Springs TPDES,"(30.2635848609854, -97.7680757366172)",1449754,30.26358486,-97.76807574,306409,FALSE,
Barton Creek,4/4/07 13:00,Barton Spring,Spring,Ground Water,Nutrients,NITRATE AS N,,1.21,MG/L,Total,35-Barton Springs,35,,EPA 300,U,Barton Springs TPDES,"(30.2635351223695, -97.7709796798271)",1449572,30.26353512,-97.77097968,306410,FALSE,
Barton Creek,4/4/07 12:15,Eliza Spring,Spring,Ground Water,Nutrients,NITRATE AS N,,1.16,MG/L,Total,428-Eliza Springs,428,,EPA 300,U,Barton Springs TPDES,"(30.2642461579302, -97.7700605859118)",1449937,30.26424616,-97.77006059,306408,FALSE,
Barton Creek,3/21/07 10:20,Barton Spring,Spring,Ground Water,Nutrients,NITRATE AS N,,1.31,MG/L,Total,35-Barton Springs,35,,EPA 300,U,Barton Springs TPDES,"(30.2635351223695, -97.7709796798271)",1447528,30.26353512,-97.77097968,306735,FALSE,
Barton Creek,3/7/07 13:20,Barton Creek @ Hwy 71 Downstream of Little Barton,Stream,Surface Water,Nutrients,NITRATE AS N,,0.212,MG/L,Total,,48,,INQUEST NO3 SCREENING,U,Bee Caves Water Qualtiy,"(30.2962292409524, -97.9260928438428)",1433792,30.29622924,-97.92609284,304267,FALSE,
Barton Creek,3/7/07 13:20,Barton Creek @ Hwy 71 us Little Barton (BC0),Stream,Surface Water,Nutrients,NITRATE AS N,,0.012,MG/L,Total,,78,,INQUEST NO3 SCREENING,U,Bee Caves Water Qualtiy,"(30.2947831486892, -97.926965322383)",1433782,30.29478315,-97.92696532,304265,FALSE,
Barton Creek,3/7/07 13:20,Barton Creek @ Nature Conservancy Headquarters,Stream,Surface Water,Nutrients,NITRATE AS N,,0.17,MG/L,Total,,2954,,INQUEST NO3 SCREENING,U,Bee Caves Water Qualtiy,"(30.3051315944355, -97.9129035409966)",1433862,30.30513159,-97.91290354,304269,FALSE,
Barton Creek,3/7/07 13:00,Barton Creek @ Nature Conservancy Headquarters,Stream,Surface Water,Nutrients,NITRATE AS N,,0.23,MG/L,Total,,2954,,INQUEST NO3 SCREENING,U,Bee Caves Water Qualtiy,"(30.3051315944355, -97.9129035409966)",1493911,30.30513159,-97.91290354,313889,FALSE,Field Replica
Barton Creek,2/21/07 11:00,Barton Spring,Spring,Ground Water,Nutrients,NITRATE AS N,,1.62,MG/L,Total,35-Barton Springs,35,,EPA 300,U,Barton Springs TPDES,"(30.2635351223695, -97.7709796798271)",1323248,30.26353512,-97.77097968,303884,FALSE,
Barton Creek,2/7/07 13:55,Old Mill (Sunken Gardens) Spring,Spring,Ground Water,Nutrients,NITRATE AS N,,1.56,MG/L,Total,422-Old Mill Springs,422,,EPA 300,U,Barton Springs Quarterly,"(30.2635848609854, -97.7680757366172)",1323192,30.26358486,-97.76807574,303320,FALSE,
