WATERSHED,SAMPLE_DATE,SITE_NAME,SITE_TYPE,MEDIUM,PARAM_TYPE,PARAMETER,QUALIFIER,RESULT,UNIT,FILTER,SAMPLE_ID,SAMPLE_SITE_NO,DEPTH_IN_METERS,METHOD,QC_FLAG,PROJECT,Location,DATA_REF_NO,LAT_DD_WGS84,LON_DD_WGS84,SAMPLE_REF_NO,TIME_NULL,QC_TYPE
Barton Creek,11/2/06 12:15,Barton Creek @ Leif Johnson Pool,Stream,Benthic Cover,Algae (filamentous),CHARA,,1,(%) Percent,Total,,50,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2913642199493, -97.8492467053898)",1409238,30.29136422,-97.84924671,300158,FALSE,
Barton Creek,11/2/06 12:15,Barton Creek @ Leif Johnson Pool,Stream,Benthic Cover,Algae (filamentous),NITELLA,,1,(%) Percent,Total,,50,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2913642199493, -97.8492467053898)",1409237,30.29136422,-97.84924671,300158,FALSE,
Barton Creek,5/25/06 10:00,Barton Creek @ Leif Johnson Pool,Stream,Benthic Cover,Algae (filamentous),CHARA,,2,(%) Percent,Total,,50,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2913642199493, -97.8492467053898)",1365100,30.29136422,-97.84924671,294866,FALSE,
Barton Creek,5/25/06 10:00,Barton Creek @ Leif Johnson Pool,Stream,Benthic Cover,Algae (filamentous),NITELLA,,1,(%) Percent,Total,,50,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2913642199493, -97.8492467053898)",1365099,30.29136422,-97.84924671,294866,FALSE,
Barton Creek,5/24/06 11:45,Barton Creek @ Shield Ranch Pool,Stream,Benthic Cover,Algae (filamentous),CHARA,,5,(%) Percent,Total,pool,46,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2697854884719, -97.9735087865863)",1365122,30.26978549,-97.97350879,294865,FALSE,
Barton Creek,5/24/06 11:45,Barton Creek @ Shield Ranch Pool,Stream,Benthic Cover,Algae (filamentous),NITELLA,,5,(%) Percent,Total,pool,46,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2697854884719, -97.9735087865863)",1365121,30.26978549,-97.97350879,294865,FALSE,
Barton Creek,10/20/05 14:00,Barton Creek Downstream of Lost Creek Blvd,Stream,Benthic Cover,Algae (filamentous),CHARA,,1,(%) Percent,Total,riffle,51,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2730736469462, -97.8432343429509)",1319706,30.27307365,-97.84323434,287340,FALSE,
Barton Creek,10/18/05 12:30,Barton Creek @ Shield Ranch Pool,Stream,Benthic Cover,Algae (filamentous),NITELLA,,25,(%) Percent,Total,Pool,46,,LENGTH MEASUREMENT,S,Barton Creek Pool-Algae Data,"(30.2697854884719, -97.9735087865863)",1320036,30.26978549,-97.97350879,287334,FALSE,
Barton Creek,10/18/05 10:00,Barton Creek @ Stark Pool,Stream,Benthic Cover,Algae (filamentous),CHARA,,1,(%) Percent,Total,,44,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2449221264486, -98.1256944853527)",1319722,30.24492213,-98.12569449,287342,FALSE,
Barton Creek,10/18/05 10:00,Barton Creek @ Stark Pool,Stream,Benthic Cover,Algae (filamentous),NITELLA,,1,(%) Percent,Total,,44,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2449221264486, -98.1256944853527)",1319997,30.24492213,-98.12569449,287342,FALSE,
