SITE_NAME,M_Result,M_Error,M_WT_Result,M_PH_Result,M_DIS_Result,M_TUR_Result,M_DS_Rain,M_Temp,N,E_std,R2,R22,PARM_INTERCIP,tSTAT_INTERCIP,PARM_WT,tSTAT_WT,PARM_PH,tSTAT_PH,PARM_DIS,tSTAT_DIS,PARM_TUR,tSTAT_TUR,PARM_DS_Rain,tSTAT_DS_Rain,PARM_AMB_TEMP,tSTAT_AMB_TEMP,LAT_DD_WGS84,LON_DD_WGS84
Avery Deer Spring,22.29411765,-1.13E-14,22.62117647,7.304705882,6.514705882,3.241176471,11.82352941,21.7,17,19.22523232,0.647603459,0.8,-3.765426807,0.902374072,0.328419538,0.463421792,-1.442305139,0.729944127,0.254925069,0.883705996,1.450724279,0.042386899,0.970066394,0.00269019,0.067396404,0.863737207,30.50754031,-97.74938499
Avery Springhouse Spring,17.4,-1.78E-16,23.3525,7.4185,6.6295,2.2705,11.45,21,20,13.70475051,0.294020823,0.4,3.293895278,0.949370595,0.14659157,0.810352078,0.692977459,0.934770146,-0.90720281,0.427852553,-1.160654917,0.622086041,0.07804362,0.873693046,0.385919898,0.336960809,30.50367993,-97.759814
Backdoor Spring,3.627254902,-6.97E-17,20.95235294,7.51372549,7.350588235,1.491176471,10.07843137,21.4,51,4.993679889,0.068213807,0.19,3.78547425,0.39473175,-0.079760107,0.211068138,-0.135039238,0.806801829,0.030166759,0.790703381,0.458326071,0.067891767,-0.029733006,0.438152157,0.019396925,0.582098966,30.25949325,-97.82370089
Barton Creek @ Hwy 71 Downstream of Little Barton,44.32106383,-3.02E-14,23.26891253,7.525106383,7.204680851,3.328723404,12.91489362,20.3,47,32.5569414,0.134366222,0.26,13.40804908,0.870041995,-0.508285202,0.103737464,-0.422723797,0.96812234,4.50074374,0.017196026,-0.602792939,0.125076967,-0.396967894,0.353965524,0.701434882,0.143647893,30.29622924,-97.92609284
Barton Creek @ Leif Johnson Pool,20.5,-1.78E-14,21.16454546,7.525,6.973181818,2.933636364,9.681818182,19.8,22,13.94856047,0.331892875,0.56,-10.75642391,0.850629858,1.267084136,0.163251919,5.424409255,0.448916407,-2.123023583,0.131249335,-1.239689961,0.043111045,-1.003714839,0.015888544,-0.406095265,0.195310479,30.29136422,-97.84924671
Barton Creek @ Ogletree Pool,17.10758621,1.23E-16,23.50383142,7.536896552,8.148965517,2.334137931,13.51724138,20,29,12.86722807,0.132307102,0.55,113.9153572,0.084135537,0.934674133,0.106222812,-13.12621563,0.110053417,0.013394254,0.991807895,-6.435265657,0.020504134,-0.894113813,0.003688299,0.146163866,0.603898778,30.3022731,-97.86854439
Barton Creek @ Recharge Pool,25.18181818,2.43E-14,22.64636364,7.679090909,9.470909091,4.820909091,9,19,11,16.54941987,0.664343745,0.96,-142.7473403,0.295310793,2.9334002,0.046584567,12.17322971,0.41141817,2.688574059,0.109018995,2.392131027,0.632534273,-0.689684047,0.329556042,-0.963066458,0.094420109,30.2677173,-97.82384212
Barton Creek @ Shield Ranch Pool,45.41428571,-4.59E-14,20.73853175,7.423571429,7.340357143,3.121428571,12,20.7,28,36.80787404,0.167937039,0.42,37.12480082,0.815112342,1.737726919,0.201695876,-8.033602916,0.718901759,5.889766293,0.06217546,-4.246551801,0.139308003,1.108875872,0.155485934,-1.388908287,0.094770081,30.26978549,-97.97350879
Barton Creek @ Stark Pool,47.648,-1.65E-14,21.216,7.4532,7.0944,1.2788,10.84,19.4,25,31.67640129,0.242906016,0.37,23.44092985,0.85794337,-0.346402054,0.818510051,-6.321724584,0.730014622,3.961247482,0.263042275,1.003680398,0.897908423,1.083903625,0.155378319,1.602111211,0.063351544,30.24492213,-98.12569449
Barton Creek Between Dams Upstream of Pool,45.08048781,-1.11E-14,22.35615176,7.462439024,7.82,4.897073171,10.73170732,20.4,41,23.82080233,0.511351114,0.72,19.82856453,0.725535455,0.478426212,0.543916513,-1.382656679,0.85370901,-0.761548496,0.632301799,0.136559768,0.823544274,-1.248593651,0.001186091,1.980874483,1.68E-06,30.26363155,-97.77247219
Barton Creek Downstream of Barton Spring Pool,54.26992481,8.55E-15,22.26822891,7.320075188,8.00518797,4.642781955,12.43609023,18.5,133,32.12919953,0.245646487,0.42,86.9386841,0.084361591,-0.900861247,0.293741798,-4.101774725,0.518408635,-1.120780786,0.337564852,-0.36703329,0.354105184,-1.322110038,3.26E-07,1.981170587,1.04E-08,30.26408358,-97.76867081
Barton Creek Downstream of Lost Creek Blvd,29.57906977,8.92E-15,21.33351421,7.440697674,7.425348837,2.373488372,13.69767442,21,43,19.03097775,0.397444634,0.56,84.79031116,0.048109135,1.025685462,0.103487234,-9.565331182,0.059180832,-0.525053827,0.667765468,-0.179934832,0.80672314,-0.976162216,0.000148817,0.474054752,0.140980552,30.27307365,-97.84323434
Barton Scenic Bluff Spring,16.47481482,-2.53E-14,20.41481482,7.516666667,7.132592593,2.894074074,9.62962963,21.5,27,19.87238802,0.394397976,0.32,59.79252784,0.323581368,0.387438546,0.734813278,-8.234104744,0.288975689,-0.982731789,0.517735444,-1.075048607,0.478774692,-0.559891227,0.242493921,0.824673071,0.13952025,30.30338848,-97.88887425
Barton Spring,22.62452015,5.68E-14,21.48294946,7.476026871,7.034337812,2.723023033,11.93378119,21.4,1042,27.96234878,0.055070523,0.14,29.63254584,1.57E-05,0.418231608,1.25E-05,-3.198515785,0.000183367,0.115412599,0.574160116,0.081000284,0.412219534,-0.332744782,5.32E-23,0.100985884,0.050342067,30.26353512,-97.77097968
Barton Spring Pool @ Downstream Dam,21.2379235,4.77E-15,21.30872617,7.488240437,7.015453552,2.565081967,11.74863388,21.4,915,26.57328948,0.100582281,0.19,6.946250881,0.341904774,0.170802277,0.099121279,0.647434466,0.486687602,0.417201147,0.054063835,-0.023709603,0.806792666,-0.470096399,4.03E-33,0.022925836,0.668773092,30.26400706,-97.76938256
Barton Springs Pool @ Northern Steps (BS-S),20.45840708,4.94E-14,21.36361357,7.480575221,6.910077434,3.317621681,11.78318584,21.4,904,26.75122802,0.088928468,0.21,40.20266868,1.08E-08,0.279104947,0.010799421,-3.134288238,0.000362181,-0.425673966,0.039285951,0.006873526,0.911424942,-0.466747451,1.17E-34,-0.08601239,0.100098122,30.26386644,-97.77073919
Bear Creek (West) @ Fritz Hughes Park Road,54.68636364,6.85E-14,18.42818182,7.798636364,10.57545455,6.196818182,10.95454546,20.4,22,32.66793018,0.458710752,0.76,-426.7917534,0.026488696,-0.440270851,0.78980898,39.1365821,0.093013697,11.41194036,0.082266316,2.303134176,0.244939413,-1.230344879,0.352406748,3.18735472,0.005186477,30.384475,-97.909336
Bear Creek @ Bear Creek Pass,25.67391304,5.25E-15,21.99,7.44173913,6.83,1.513913044,7.565217391,17.7,23,23.78450929,0.115117909,0.56,-143.9840525,0.163563548,2.905897634,0.034750479,5.322948675,0.641302445,7.722338967,0.009781901,1.073978935,0.653445315,-1.396859242,0.226964085,1.457544985,0.043097408,30.16088234,-97.94486077
Bear Creek @ Twin Creeks Road,45.75909091,-1.59E-15,24.38136364,7.247727273,6.455909091,91.93590909,6.5,19,22,29.62796346,0.178069321,0.21,139.8253899,0.416365531,0.388835785,0.59005485,-4.863745812,0.829672111,-4.734814455,0.48796138,-10.70046211,0.402218597,-0.448581408,0.858670113,-1.245224485,0.333740858,30.12742048,-97.82190258
Bee Creek @ Lake Austin,32.29,-1.48E-14,20.29066667,7.565,8.819666667,9.012666667,5.933333333,17.5,30,17.75511721,0.488803319,0.73,-53.56641923,0.408713897,0.453594001,0.500423014,9.439819217,0.198178751,-0.815335148,0.673048236,-4.7676168,0.150418508,-2.308248756,0.007405802,2.037425458,7.97E-05,30.30313133,-97.79540564
